age,years_employed,annual_income,credit_score,debt_to_income_ratio,num_existing_loans,previous_defaults,loan_amount,loan_term_months,loan_purpose,avg_monthly_balance,months_as_customer,default
51,26,34400.0,615,0.46,1,1,5000.0,60,home_improvement,362.49,73,0
60,28,54500.0,635,0.3,0,0,5000.0,48,personal,1390.83,126,0
21,1,25200.0,380,0.21,0,0,10500.0,12,home_improvement,715.3,19,0
31,4,36200.0,484,0.15,1,0,33500.0,60,home_improvement,1317.71,71,0
42,4,40200.0,644,0.34,0,0,9000.0,24,personal,1380.92,66,0
54,19,65700.0,525,0.22,2,0,21000.0,12,business,1003.45,113,0
37,7,38300.0,463,0.33,1,0,13000.0,60,business,603.49,94,0
37,13,35200.0,534,0.21,1,1,12000.0,36,personal,934.31,93,0
25,2,18400.0,450,0.42,1,0,6500.0,24,business,763.83,34,0
42,7,31600.0,415,0.17,2,0,5000.0,12,debt_consolidation,780.73,8,0
28,6,16600.0,470,0.11,1,1,5000.0,12,home_improvement,406.3,25,0
32,6,22000.0,492,0.22,1,1,10000.0,48,business,603.32,52,0
35,3,27600.0,545,0.3,1,0,25000.0,24,home_improvement,1022.11,69,0
31,6,21300.0,446,0.12,0,2,5000.0,24,debt_consolidation,443.44,34,0
45,6,25900.0,461,0.26,0,0,5000.0,24,home_improvement,1042.81,21,0
31,2,15000.0,495,0.17,1,0,5000.0,24,debt_consolidation,753.7,20,0
44,7,27900.0,526,0.36,2,0,19500.0,12,personal,1356.45,102,0
35,4,31600.0,532,0.33,1,2,5000.0,60,business,816.93,59,0
33,6,18800.0,519,0.23,0,0,10500.0,12,home_improvement,100.0,88,0
46,9,47100.0,600,0.21,1,0,28000.0,12,education,981.19,74,0
24,1,43400.0,437,0.32,1,0,12000.0,24,debt_consolidation,1326.38,16,0
59,21,59900.0,591,0.39,1,1,15500.0,60,personal,2012.45,181,0
46,6,26600.0,510,0.23,2,0,13500.0,24,debt_consolidation,779.19,36,0
47,8,40500.0,492,0.59,5,0,18000.0,24,debt_consolidation,347.71,84,0
32,4,59300.0,547,0.32,1,0,12500.0,24,personal,1491.6,109,0
42,5,27500.0,468,0.23,0,1,12500.0,36,personal,360.22,65,0
33,11,44200.0,385,0.21,0,0,13000.0,24,home_improvement,1000.39,73,0
48,11,30400.0,523,0.29,0,0,18000.0,24,education,769.77,18,0
37,9,31600.0,560,0.18,1,0,6500.0,12,home_improvement,698.6,30,0
27,3,30100.0,511,0.15,0,0,15000.0,24,business,280.13,59,0
40,8,26900.0,563,0.36,0,0,18500.0,48,business,677.7,55,0
33,9,32700.0,469,0.35,2,1,32500.0,24,personal,1254.49,21,0
43,13,56400.0,512,0.36,2,1,10000.0,12,debt_consolidation,1196.48,97,0
40,4,19300.0,468,0.15,1,0,7500.0,48,business,200.02,9,0
59,10,63900.0,622,0.22,2,2,21000.0,36,personal,1082.79,187,0
51,7,26200.0,489,0.39,1,0,5000.0,12,home_improvement,365.41,165,0
35,8,15600.0,499,0.26,1,0,5000.0,60,debt_consolidation,190.18,162,0
31,5,28800.0,411,0.28,1,0,5000.0,24,home_improvement,619.76,36,0
38,7,20000.0,466,0.11,1,0,9000.0,12,business,425.69,23,0
42,9,15000.0,525,0.17,1,0,5000.0,24,business,340.98,87,0
59,3,20600.0,525,0.16,1,1,9000.0,24,personal,630.48,116,0
36,7,25700.0,384,0.1,0,1,7500.0,48,home_improvement,598.44,82,0
59,9,40000.0,602,0.18,2,0,12500.0,36,personal,1113.51,103,0
31,8,17900.0,513,0.26,1,0,5000.0,60,personal,632.67,114,0
34,11,32100.0,447,0.31,1,0,9000.0,36,business,946.12,27,0
46,5,17600.0,548,0.23,2,0,5000.0,60,debt_consolidation,539.95,152,0
34,5,17000.0,528,0.45,2,0,25000.0,24,personal,665.25,144,0
46,9,28400.0,503,0.21,2,0,5000.0,12,home_improvement,472.1,27,0
41,6,27400.0,512,0.25,1,0,27000.0,48,home_improvement,1245.69,104,0
26,5,40100.0,488,0.24,2,1,7500.0,48,personal,697.19,96,0
61,27,37400.0,550,0.38,2,0,12500.0,60,home_improvement,1376.67,233,0
29,2,22400.0,431,0.26,1,0,31000.0,36,home_improvement,219.38,35,0
25,2,29000.0,493,0.25,0,0,5000.0,12,personal,792.09,37,0
42,5,35100.0,659,0.34,0,0,11000.0,12,business,1402.07,118,0
40,5,26000.0,528,0.33,1,0,12500.0,48,home_improvement,422.61,88,0
44,13,54700.0,521,0.18,0,1,14500.0,12,business,1930.39,125,0
28,2,15000.0,495,0.18,0,0,14000.0,60,business,575.7,43,0
36,2,19000.0,538,0.26,1,0,5000.0,24,debt_consolidation,708.6,101,0
32,3,15000.0,487,0.09,0,0,5000.0,12,business,220.14,51,0
32,8,15000.0,437,0.37,1,0,8000.0,36,personal,592.03,58,0
54,10,20800.0,595,0.41,3,0,5000.0,12,home_improvement,607.65,177,0
54,20,22300.0,603,0.26,2,0,14500.0,24,business,526.6,151,0
59,5,39800.0,528,0.2,2,0,17000.0,48,business,1643.07,249,0
56,6,35100.0,499,0.39,2,0,5000.0,12,home_improvement,1236.56,111,0
36,3,30100.0,506,0.21,1,0,16500.0,24,personal,643.54,131,0
38,7,16300.0,460,0.17,0,0,5000.0,48,home_improvement,691.78,58,0
59,7,18200.0,487,0.39,3,0,5000.0,12,personal,358.95,217,0
31,5,38500.0,491,0.14,0,1,9000.0,24,personal,1067.77,51,1
50,25,27300.0,493,0.27,1,0,15000.0,24,education,638.61,75,0
23,2,23100.0,499,0.43,3,1,8000.0,36,education,295.11,19,0
30,2,18400.0,520,0.11,0,0,5000.0,24,debt_consolidation,132.19,77,0
45,12,21500.0,504,0.44,3,0,5000.0,12,personal,811.36,94,0
55,14,56900.0,534,0.21,0,0,12000.0,24,education,2055.37,115,0
46,10,34800.0,471,0.11,0,0,6000.0,48,business,1750.37,83,0
26,1,19900.0,444,0.2,1,0,8500.0,24,home_improvement,437.88,78,0
40,7,15000.0,454,0.27,1,0,5000.0,12,home_improvement,316.35,78,0
38,12,35800.0,582,0.42,3,0,12000.0,24,personal,428.09,83,0
31,6,32600.0,573,0.27,1,1,5000.0,24,personal,1127.82,7,0
32,5,22700.0,489,0.48,2,0,11000.0,36,education,715.2,29,0
40,5,36800.0,421,0.25,2,0,24500.0,24,home_improvement,1030.09,55,0
46,18,23000.0,529,0.14,0,0,7500.0,36,personal,851.22,110,0
46,11,43600.0,516,0.26,1,0,23500.0,24,personal,1062.95,43,0
27,4,19500.0,479,0.25,1,0,12500.0,12,personal,410.78,30,0
60,36,60600.0,668,0.08,1,0,26000.0,60,home_improvement,2658.98,164,0
41,6,15000.0,535,0.29,1,0,5000.0,36,home_improvement,592.6,26,0
41,8,26100.0,439,0.3,0,0,21500.0,48,debt_consolidation,605.47,49,0
24,1,15500.0,527,0.35,0,0,23500.0,36,home_improvement,426.66,18,0
37,12,22800.0,463,0.28,1,0,5000.0,12,debt_consolidation,1194.56,19,0
33,3,28100.0,499,0.38,0,1,20000.0,36,debt_consolidation,248.88,15,0
25,3,16000.0,399,0.32,0,0,15000.0,24,education,660.78,30,0
46,17,22600.0,302,0.11,0,0,8500.0,36,home_improvement,375.56,108,0
51,12,41500.0,621,0.46,3,0,17500.0,12,home_improvement,916.18,92,0
32,6,32200.0,463,0.32,1,0,6000.0,36,personal,550.23,58,0
37,4,65300.0,525,0.27,3,0,18500.0,60,business,1187.31,40,0
51,17,17900.0,435,0.21,0,0,13000.0,24,personal,208.84,50,0
25,1,22900.0,629,0.45,0,0,9000.0,12,education,660.44,95,0
37,3,44300.0,385,0.71,4,1,10000.0,12,personal,1287.05,93,1
54,23,81200.0,641,0.06,1,0,18500.0,60,home_improvement,4303.76,133,0
28,4,36300.0,522,0.46,2,1,5500.0,24,personal,942.27,55,0
26,1,17600.0,397,0.32,1,0,13000.0,12,debt_consolidation,181.11,17,0
34,7,17800.0,442,0.46,2,0,5000.0,24,personal,365.86,90,0
32,5,22000.0,559,0.21,2,0,18500.0,24,personal,880.12,13,0
42,8,24300.0,511,0.27,1,1,5000.0,24,business,554.63,56,0
46,13,52200.0,614,0.29,1,1,24000.0,36,personal,1351.82,88,0
28,6,30500.0,544,0.31,1,0,22500.0,12,personal,1410.38,51,0
25,3,26000.0,369,0.17,1,0,5000.0,36,personal,625.42,48,0
38,16,37300.0,532,0.28,2,0,15500.0,36,home_improvement,406.95,27,0
45,5,19300.0,493,0.29,1,0,5000.0,24,home_improvement,782.72,128,0
30,4,21000.0,443,0.18,0,0,5000.0,24,personal,416.31,60,0
43,11,28000.0,510,0.4,1,0,5000.0,60,home_improvement,198.35,114,0
37,8,38500.0,560,0.29,1,0,11000.0,48,debt_consolidation,1552.56,75,0
32,6,21800.0,512,0.15,0,0,5000.0,24,personal,1175.4,79,0
29,6,21100.0,488,0.18,0,0,26000.0,60,personal,662.61,54,0
53,22,51000.0,589,0.29,1,0,22500.0,36,personal,786.66,178,0
44,14,25100.0,547,0.21,1,0,5000.0,24,debt_consolidation,746.42,174,0
35,6,50100.0,516,0.13,0,0,6500.0,48,home_improvement,2247.82,40,0
44,4,28100.0,664,0.1,1,0,5000.0,12,debt_consolidation,735.76,69,0
47,9,46200.0,501,0.4,2,0,5500.0,48,home_improvement,1346.72,150,0
64,29,48000.0,599,0.39,2,0,14000.0,24,home_improvement,1209.0,224,0
34,4,22500.0,492,0.32,2,0,24000.0,36,home_improvement,655.38,60,0
25,2,26900.0,599,0.31,1,0,11000.0,24,education,359.25,56,0
58,16,34800.0,653,0.17,2,1,19500.0,24,debt_consolidation,1540.08,108,0
37,4,52100.0,471,0.19,1,0,16000.0,36,business,364.19,47,0
53,17,40000.0,494,0.33,3,1,15000.0,12,personal,1149.07,177,0
38,4,44500.0,495,0.21,2,0,7500.0,24,business,2227.8,55,0
48,9,35500.0,580,0.11,0,0,19000.0,36,home_improvement,906.19,60,0
44,7,26000.0,499,0.3,1,0,11000.0,36,debt_consolidation,1118.53,73,0
28,6,24900.0,494,0.4,2,1,5000.0,36,personal,1173.91,4,0
44,6,45400.0,515,0.35,4,2,11500.0,24,debt_consolidation,2178.85,155,1
42,7,28100.0,530,0.33,1,0,7500.0,12,home_improvement,552.62,104,0
34,4,31300.0,451,0.42,0,0,5000.0,60,personal,1742.11,80,0
50,6,53500.0,637,0.26,1,0,16500.0,48,home_improvement,950.9,85,0
55,13,80000.0,598,0.21,3,0,23000.0,60,education,562.17,59,0
35,6,43100.0,608,0.49,1,0,20000.0,48,personal,1818.33,134,0
54,21,71900.0,639,0.36,3,0,27000.0,24,personal,2439.8,164,0
27,4,15000.0,372,0.29,3,1,19000.0,48,debt_consolidation,107.03,29,0
56,7,40100.0,524,0.15,0,0,8000.0,36,education,688.05,74,0
38,2,15000.0,512,0.37,0,0,9500.0,36,education,879.78,99,1
56,10,31900.0,476,0.32,1,0,13500.0,48,personal,1628.12,8,0
62,29,62400.0,532,0.15,1,0,9000.0,24,home_improvement,2927.12,131,0
37,2,27700.0,549,0.1,1,0,9000.0,36,personal,705.54,112,0
56,6,32900.0,577,0.35,1,0,22500.0,48,education,770.75,126,0
47,14,25000.0,538,0.05,0,0,6500.0,36,business,411.35,124,0
26,3,41200.0,547,0.14,0,0,5000.0,24,home_improvement,1006.3,23,0
31,2,22800.0,508,0.38,1,0,8000.0,36,business,273.91,18,0
33,3,22100.0,411,0.24,1,0,5500.0,24,personal,176.67,50,0
31,2,62900.0,455,0.14,1,0,27000.0,48,personal,1699.76,17,0
34,6,15000.0,458,0.32,1,0,14000.0,24,debt_consolidation,108.04,29,0
34,10,38800.0,562,0.28,1,1,5000.0,24,personal,1747.51,46,0
41,12,19900.0,534,0.4,1,0,14500.0,36,personal,247.97,17,0
50,14,20400.0,615,0.42,3,0,17000.0,12,debt_consolidation,561.73,148,0
53,21,45000.0,518,0.38,3,0,17500.0,60,personal,1800.2,205,0
37,8,31400.0,534,0.15,0,0,5000.0,12,personal,979.81,92,0
32,2,22800.0,525,0.35,3,0,6000.0,12,personal,584.57,32,0
47,9,24600.0,587,0.27,2,0,5000.0,36,personal,188.95,67,0
28,3,24100.0,458,0.36,0,1,19500.0,48,personal,448.08,95,0
43,10,37000.0,586,0.3,2,1,16500.0,60,personal,1635.23,59,0
57,21,38900.0,561,0.17,1,0,14000.0,36,business,2034.3,155,0
50,25,86100.0,586,0.2,0,0,21000.0,36,personal,2071.46,102,0
26,2,15000.0,399,0.27,1,1,5000.0,48,debt_consolidation,209.23,49,1
31,4,21200.0,486,0.15,0,0,8500.0,36,debt_consolidation,212.4,41,0
33,5,49000.0,568,0.06,0,0,22000.0,12,education,125.93,47,0
33,2,18400.0,564,0.19,0,0,5000.0,12,personal,335.15,33,0
39,16,34200.0,560,0.3,0,0,6000.0,12,home_improvement,355.06,110,0
33,6,38800.0,437,0.19,1,0,8500.0,48,business,361.91,57,0
53,11,19300.0,618,0.34,1,1,5000.0,36,personal,171.76,157,0
28,7,16400.0,366,0.43,2,0,24500.0,24,business,540.9,114,1
44,11,30800.0,500,0.32,2,0,5000.0,24,debt_consolidation,1202.99,116,0
46,2,23400.0,481,0.21,2,1,10500.0,60,home_improvement,1382.85,177,0
40,11,59100.0,498,0.22,1,1,20000.0,12,home_improvement,1358.63,30,0
32,4,22100.0,533,0.3,1,0,5000.0,12,home_improvement,122.74,22,0
27,2,15000.0,394,0.13,0,0,10500.0,36,personal,425.78,65,0
30,7,53300.0,608,0.16,0,0,11500.0,12,debt_consolidation,2575.99,69,0
51,18,40900.0,575,0.49,1,0,5000.0,12,personal,972.29,134,0
53,16,21900.0,597,0.16,0,0,5000.0,36,personal,902.69,124,0
33,5,15000.0,458,0.18,1,0,5000.0,24,debt_consolidation,416.64,29,0
48,16,39100.0,505,0.26,1,0,12500.0,24,education,1182.37,31,0
44,16,65600.0,601,0.17,2,1,20500.0,60,personal,3045.46,112,0
58,10,32100.0,617,0.41,3,0,5000.0,24,personal,1478.47,96,0
32,1,19400.0,576,0.2,0,0,8000.0,60,home_improvement,568.2,107,0
41,2,34100.0,451,0.51,1,0,21000.0,60,education,629.7,69,0
39,9,36300.0,573,0.35,1,0,17500.0,24,education,941.35,80,0
45,9,15200.0,501,0.12,1,1,14500.0,48,home_improvement,259.42,95,0
24,4,24900.0,450,0.22,2,0,8500.0,48,business,1183.58,87,0
25,4,18200.0,509,0.19,2,0,13500.0,12,home_improvement,487.38,26,0
44,8,20800.0,495,0.25,2,0,8000.0,60,debt_consolidation,187.81,203,0
43,6,18800.0,435,0.2,1,0,15500.0,12,personal,726.05,76,0
46,12,32000.0,511,0.58,2,0,11500.0,48,debt_consolidation,1701.24,63,0
39,6,38800.0,532,0.34,3,0,7500.0,24,business,970.48,72,0
34,5,30100.0,604,0.39,2,0,5000.0,24,home_improvement,1033.46,21,0
36,11,20300.0,482,0.13,0,0,7500.0,24,home_improvement,624.11,12,0
35,12,19500.0,404,0.25,0,0,10500.0,48,education,307.79,185,0
31,4,22800.0,603,0.13,0,0,5000.0,36,business,569.66,31,0
30,4,17700.0,508,0.28,2,1,5000.0,36,home_improvement,447.64,51,0
27,1,18000.0,408,0.37,1,1,13000.0,36,home_improvement,651.54,32,0
31,4,30300.0,554,0.33,1,0,12500.0,12,debt_consolidation,253.26,48,0
31,2,21900.0,434,0.33,2,0,13000.0,12,personal,784.42,13,0
38,18,22200.0,423,0.31,0,0,6500.0,12,home_improvement,644.77,152,0
28,2,16400.0,492,0.27,2,1,5000.0,12,debt_consolidation,100.0,53,0
50,19,18300.0,517,0.27,0,0,11000.0,12,personal,567.5,46,0
45,2,16500.0,558,0.48,0,0,17000.0,12,personal,740.3,27,0
38,4,36700.0,550,0.36,4,0,10500.0,36,home_improvement,1660.51,47,0
37,12,23100.0,525,0.09,0,0,12500.0,12,education,643.96,39,0
43,13,43700.0,483,0.18,0,0,13000.0,12,business,841.39,107,0
23,3,15000.0,606,0.45,2,0,6000.0,60,home_improvement,434.23,29,0
50,2,30000.0,531,0.35,3,0,5000.0,12,personal,914.39,52,0
33,8,35300.0,408,0.25,3,0,16000.0,48,home_improvement,525.56,103,0
46,8,36200.0,478,0.37,2,0,14500.0,24,business,840.94,57,0
55,22,39300.0,608,0.51,2,1,23000.0,12,business,484.79,135,0
54,21,34000.0,644,0.34,1,0,12000.0,12,home_improvement,562.0,160,0
33,7,38100.0,405,0.13,0,0,5000.0,12,home_improvement,682.56,92,0
43,23,28300.0,515,0.32,2,0,27500.0,12,personal,382.75,70,0
41,6,31300.0,435,0.05,0,0,16500.0,48,debt_consolidation,1153.79,99,0
65,17,85500.0,691,0.47,2,0,31000.0,36,personal,1435.15,22,0
28,3,30000.0,569,0.26,1,0,8500.0,60,home_improvement,793.81,95,0
48,4,22300.0,503,0.07,0,0,5000.0,12,business,542.17,112,0
29,7,37800.0,444,0.13,0,0,20000.0,24,personal,1497.85,14,0
50,16,21300.0,624,0.27,2,0,10000.0,24,home_improvement,526.57,140,0
37,3,30700.0,615,0.31,2,0,14000.0,36,home_improvement,394.24,12,0
43,12,52200.0,482,0.22,2,0,5000.0,48,debt_consolidation,638.17,87,0
46,2,25300.0,548,0.25,2,0,5000.0,24,debt_consolidation,1072.6,80,0
49,19,32000.0,430,0.24,2,0,11000.0,12,personal,1782.1,68,0
35,7,32500.0,402,0.2,1,0,16500.0,60,personal,1370.29,10,0
33,5,25700.0,565,0.27,2,0,13000.0,12,home_improvement,278.27,86,0
25,1,15800.0,460,0.34,1,0,22000.0,48,personal,812.21,24,0
47,3,28800.0,544,0.22,1,0,28500.0,60,debt_consolidation,1586.61,137,0
42,9,21400.0,451,0.35,1,0,9500.0,36,education,338.74,81,0
38,8,19200.0,452,0.32,0,0,5000.0,12,home_improvement,1037.38,4,0
34,7,59000.0,529,0.17,2,0,6000.0,12,home_improvement,1558.87,126,0
25,1,15300.0,467,0.2,1,0,9500.0,60,debt_consolidation,127.59,11,0
33,8,17400.0,610,0.4,0,0,5000.0,48,business,425.1,9,0
39,15,33900.0,543,0.31,2,0,17000.0,48,personal,1010.9,125,0
41,19,46500.0,499,0.24,1,1,9000.0,48,personal,902.72,43,0
55,18,83300.0,697,0.5,4,0,20000.0,36,personal,1436.37,82,0
60,10,43000.0,502,0.23,1,0,17500.0,24,personal,1447.06,159,0
42,5,26700.0,413,0.32,2,0,10000.0,48,personal,847.36,105,0
34,8,39800.0,447,0.51,2,0,22000.0,36,personal,1312.58,32,0
47,1,21900.0,514,0.06,0,0,10000.0,48,debt_consolidation,703.25,48,0
40,5,39100.0,463,0.37,1,0,34000.0,48,debt_consolidation,1788.24,118,0
47,20,62400.0,440,0.19,2,0,11500.0,60,debt_consolidation,1440.55,125,0
29,5,21700.0,495,0.46,1,0,18500.0,60,education,902.46,57,1
29,8,31500.0,543,0.31,1,0,19000.0,12,personal,290.63,138,0
37,8,21900.0,446,0.4,1,0,5000.0,60,home_improvement,415.71,66,0
41,6,24100.0,441,0.05,0,1,10000.0,36,home_improvement,824.06,21,0
41,11,21200.0,542,0.35,1,0,14000.0,12,home_improvement,879.5,201,0
39,6,29900.0,548,0.17,0,0,5000.0,36,debt_consolidation,1017.35,88,0
41,8,53600.0,615,0.24,2,0,16000.0,36,personal,1657.51,4,0
32,10,22400.0,511,0.24,0,0,19500.0,12,debt_consolidation,521.21,24,0
45,7,40100.0,412,0.37,0,0,5000.0,24,education,1171.27,136,0
42,17,22400.0,527,0.17,1,0,17000.0,48,personal,485.3,48,0
31,4,17000.0,537,0.4,2,0,8500.0,36,business,710.82,33,1
42,14,21400.0,589,0.51,2,0,20000.0,12,personal,307.29,74,0
34,11,15100.0,514,0.54,2,1,6500.0,36,home_improvement,686.06,57,0
42,12,58600.0,486,0.46,1,0,6000.0,12,education,1271.55,92,0
48,9,32300.0,482,0.19,2,0,11000.0,12,personal,1150.93,54,0
25,4,15000.0,446,0.25,2,0,5000.0,12,home_improvement,635.75,65,0
30,7,25000.0,479,0.41,1,0,5000.0,24,home_improvement,597.68,31,0
30,10,16100.0,364,0.3,0,0,5000.0,12,personal,504.41,38,1
38,10,27100.0,602,0.2,1,0,9500.0,12,personal,1206.88,81,0
27,2,22800.0,513,0.3,1,0,10500.0,36,business,493.76,21,0
31,4,17500.0,477,0.32,1,0,5000.0,60,home_improvement,266.19,18,0
33,6,17300.0,588,0.38,2,0,5000.0,12,education,351.14,65,0
